rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
27,hashing_char,HashingVectorizer Character,char_hashing,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,hashing_char__complement_nb,completed,0.631578947368421,0.4192070631350991,0.608866619321918,0.41484788359788355,0.429032806391297,0.06604480743408203,0.034534454345703125,225.3681640625,50.074896762145244,93.02430061340331,85,68.89605334186055,
28,hashing_char,HashingVectorizer Character,char_hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_char__linear_svc,completed,0.6526315789473685,0.4415253562614441,0.6366422385076616,0.42946990116801437,0.4552099269080401,0.1231391429901123,0.022415876388549805,97.3408203125,52.35694442698579,95.96939615249633,70,68.49019866534145,
29,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_bigram__bernoulli_nb,completed,0.5894736842105263,0.35097358781569304,0.5291193570971964,0.3958333333333333,0.37667856535781064,0.02799391746520996,0.0054552555084228516,311.4736328125,43.732047730662686,93.27524850845337,100,67.70767595355515,
30,hashing_char,HashingVectorizer Character,char_hashing,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,hashing_char__bernoulli_nb,completed,0.5789473684210527,0.39675623335754057,0.5725566639911326,0.39115646258503406,0.40574536800951894,0.06577801704406738,0.02404928207397461,193.3212890625,46.86740817184574,94.29594919204712,85,67.38626433292458,
31,count_binary,Binary CountVectorizer,count_binary,low,random_forest_small,Small Random Forest,tree_based,high,count_binary__random_forest_small,completed,0.6526315789473685,0.42311111111111116,0.6183298245614035,0.44484702093397743,0.4334523202447731,0.10072994232177734,0.007230043411254883,264.8271484375,50.977403508771935,93.66527477264404,70,67.27062688435338,
32,count_word,CountVectorizer Word,count,low,random_forest_small,Small Random Forest,tree_based,high,count_word__random_forest_small,completed,0.6421052631578947,0.42033133836412523,0.6126080227892134,0.4305091044221479,0.4298827129015808,0.10010290145874023,0.007253408432006836,268.6083984375,50.461632222633085,93.59201011657714,70,66.97229974576362,
33,hashing_word,HashingVectorizer Word,hashing,medium,random_forest_small,Small Random Forest,tree_based,high,hashing_word__random_forest_small,completed,0.6736842105263158,0.4458505509641873,0.6462130274032188,0.45515613652868553,0.4541900390956995,0.13156747817993164,0.0071103572845458984,204.181640625,53.286333732057415,94.70034088134766,55,66.49755172890112,
34,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,random_forest_small,Small Random Forest,tree_based,high,count_bigram__random_forest_small,completed,0.631578947368421,0.40238935650285096,0.5921659973991455,0.4294294294294294,0.41543430222675504,0.12247514724731445,0.008997440338134766,315.8427734375,48.81532503536877,92.40844722747804,70,65.83011821494844,
35,tfidf_word,TF-IDF Word,tfidf,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_word__random_forest_small,completed,0.6210526315789474,0.39163011695906436,0.5786415050784857,0.42111111111111105,0.40642529321774606,0.10657763481140137,0.0075817108154296875,276.3720703125,47.703745383194835,93.3781901359558,70,65.41269798794832,
36,hashing_char,HashingVectorizer Character,char_hashing,medium,random_forest_small,Small Random Forest,tree_based,high,hashing_char__random_forest_small,completed,0.6421052631578947,0.4159454497770784,0.6092343368255414,0.4276190476190476,0.42716301206867247,0.2590324878692627,0.031534671783447266,284.087890625,50.14787361795519,90.87196695327759,55,64.00572388053088,
