rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
34,count_word,CountVectorizer Word,count,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,count_word__sgd_log,completed,0.6,0.5558667911609088,0.5408029878618115,0.5833333333333334,0.6190476190476191,0.014478206634521484,0.0016684532165527344,16.828125,56.464052287581694,99.47646106719971,85,73.70052097160988,
35,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,count_bigram__sgd_hinge,completed,0.6,0.5555555555555556,0.55,0.5462962962962963,0.6111111111111112,0.006600379943847656,0.0010640621185302734,44.849609375,56.583333333333336,98.99956180572511,85,73.67074569447836,
36,tfidf_word,TF-IDF Word,tfidf,low,complement_nb,Complement Naive Bayes,naive_bayes,low,tfidf_word__complement_nb,completed,0.55,0.5177489177489177,0.5036363636363637,0.49603174603174605,0.5714285714285714,0.008034229278564453,0.0033075809478759766,28.1650390625,52.36948051948052,99.19003898620605,100,73.6412220829555,
37,tfidf_word,TF-IDF Word,tfidf,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word__linear_svc,completed,0.55,0.5710041592394534,0.5540998217468805,0.6,0.5634920634920635,0.006834745407104492,0.0016999244689941406,18.9375,56.32174688057041,99.47824605941773,85,73.62260999619727,
38,hashing_word,HashingVectorizer Word,hashing,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,hashing_word__complement_nb,completed,0.6,0.5607142857142857,0.5458928571428572,0.5462962962962963,0.6190476190476191,0.0029554367065429688,0.0010886192321777344,113.3994140625,56.831250000000004,97.64896194458008,85,73.53697988891602,
39,hashing_char,HashingVectorizer Character,char_hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_char__logreg_balanced,completed,0.6,0.5547619047619048,0.5467857142857143,0.5416666666666666,0.6111111111111112,0.05683755874633789,0.004702091217041016,97.4697265625,56.4875,97.42745464324952,85,73.3036159286499,
40,tfidf_word,TF-IDF Word,tfidf,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,tfidf_word__sgd_log,completed,0.55,0.5555555555555556,0.5416666666666666,0.5592592592592592,0.5634920634920635,0.010457277297973633,0.0019376277923583984,19.20703125,55.208333333333336,99.43685804367067,85,73.00195494206747,
41,hashing_word,HashingVectorizer Word,hashing,medium,random_forest_small,Small Random Forest,tree_based,high,hashing_word__random_forest_small,completed,0.65,0.6384615384615385,0.6303846153846154,0.6444444444444444,0.6666666666666666,0.09050273895263672,0.004712343215942383,137.837890625,64.01346153846154,96.41748516082764,55,72.74090087831938,
42,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,ridge_classifier,Ridge Classifier,linear,low,count_bigram__ridge_classifier,completed,0.5,0.513888888888889,0.4979166666666666,0.5222222222222223,0.5158730158730159,0.014986753463745117,0.0016999244689941406,44.5830078125,50.802083333333336,98.91642385482788,100,72.72443060429892,
43,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6,0.5851851851851851,0.5644444444444445,0.5959595959595959,0.6190476190476191,0.004402875900268555,0.0014262199401855469,49.3564453125,58.577777777777776,98.90088064193725,70,72.49795390616524,
44,count_word,CountVectorizer Word,count,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,count_word__passive_aggressive,completed,0.55,0.5370851370851372,0.5282251082251083,0.5416666666666666,0.5634920634920635,0.007485866546630859,0.0011029243469238281,16.849609375,53.898484848484856,99.5519171524048,85,72.30455009714764,
45,tfidf_word,TF-IDF Word,tfidf,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,tfidf_word__multinomial_nb,completed,0.5,0.4845295055821371,0.47239234449760764,0.5166666666666667,0.5079365079365079,0.0052242279052734375,0.0019218921661376953,25.7900390625,48.65765550239234,99.3375403213501,100,71.62921859058581,
46,tfidf_word,TF-IDF Word,tfidf,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,tfidf_word__sgd_hinge,completed,0.55,0.5082477435418612,0.49794584500466854,0.5416666666666666,0.5634920634920636,0.006018400192260742,0.001317739486694336,19.212890625,51.71405228758171,99.50056741714478,85,71.0928422415989,
47,hashing_char,HashingVectorizer Character,char_hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_char__linear_svc,completed,0.6,0.547463429816371,0.5391223155929039,0.5750000000000001,0.6111111111111112,0.01785898208618164,0.0047397613525390625,97.3408203125,55.93464052287582,97.66164402008056,70,70.79638109159782,
48,hashing_char,HashingVectorizer Character,char_hashing,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,hashing_char__bernoulli_nb,completed,0.55,0.5111111111111111,0.5033333333333333,0.5151515151515151,0.5555555555555555,0.008142232894897461,0.003264188766479492,193.3212890625,51.96666666666666,95.88886949539184,85,70.50944056574504,
49,hashing_char,HashingVectorizer Character,char_hashing,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,hashing_char__complement_nb,completed,0.55,0.5111111111111111,0.5033333333333333,0.5046296296296297,0.5634920634920636,0.007964849472045898,0.0026273727416992188,225.3681640625,51.96666666666666,95.28720525741576,85,70.38910771814982,
50,hashing_char,HashingVectorizer Character,char_hashing,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,hashing_char__multinomial_nb,completed,0.55,0.5070889894419306,0.5016742081447964,0.5015873015873016,0.5555555555555555,0.009120941162109375,0.0027878284454345703,193.3056640625,51.70045248868778,95.91189136505128,85,70.36762714178853,
51,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_bigram__logreg_balanced,completed,0.45,0.470995670995671,0.4581818181818182,0.48690476190476195,0.4603174603174603,0.017736434936523438,0.0015859603881835938,44.6875,46.38246753246754,98.90467376708985,100,70.29129189627511,
52,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_char_wb__bernoulli_nb,completed,0.55,0.5130952380952382,0.5030357142857144,0.5046296296296297,0.5634920634920636,0.013999700546264648,0.004122257232666016,284.8681640625,52.081250000000004,93.97130308151245,85,70.1889481163025,
53,tfidf_word,TF-IDF Word,tfidf,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,tfidf_word__passive_aggressive,completed,0.5,0.5008547008547009,0.4874358974358975,0.49642857142857144,0.5158730158730159,0.005766391754150391,0.0012314319610595703,19.228515625,49.86282051282051,99.50694541931153,85,70.0759403659136,
54,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,count_bigram__passive_aggressive,completed,0.5,0.5008547008547009,0.4874358974358975,0.49642857142857144,0.5158730158730159,0.007493019104003906,0.0010116100311279297,44.865234375,49.86282051282051,98.9970405960083,85,69.97395940125294,
55,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,linear_svc,LinearSVC,margin_based,medium,count_bigram__linear_svc,completed,0.5,0.5008547008547009,0.4874358974358975,0.49642857142857144,0.5158730158730159,0.0073468685150146484,0.0014309883117675781,44.52734375,49.86282051282051,98.97951261520386,85,69.97045380509206,
56,hashing_word,HashingVectorizer Word,hashing,medium,sgd_log,SGDClassifier Logistic Loss,sgd,medium,hashing_word__sgd_log,completed,0.55,0.534965034965035,0.5155594405594405,0.5171957671957672,0.5714285714285714,0.0069446563720703125,0.001531362533569336,49.6259765625,53.58129370629371,98.87393077850342,70,69.74449769416222,
57,tfidf_char,Character TF-IDF,char_tfidf,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_char__bernoulli_nb,completed,0.55,0.5082477435418612,0.49794584500466854,0.5416666666666666,0.5634920634920636,0.020081520080566406,0.0042572021484375,402.9462890625,51.71405228758171,91.56515296936035,85,69.50575935204202,
58,hashing_char,HashingVectorizer Character,char_hashing,medium,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,hashing_char__passive_aggressive,completed,0.55,0.5130952380952382,0.5030357142857144,0.5046296296296297,0.5634920634920636,0.011368989944458008,0.0027370452880859375,97.6318359375,52.081250000000004,97.8149266242981,70,68.70767282485963,
59,hashing_char,HashingVectorizer Character,char_hashing,medium,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,hashing_char__sgd_hinge,completed,0.55,0.5071428571428571,0.495,0.5015873015873016,0.5714285714285714,0.01076960563659668,0.002750873565673828,97.6318359375,51.60357142857143,97.81769323348999,70,68.44550293241228,
60,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_bigram__complement_nb,completed,0.45,0.42568542568542567,0.4136363636363637,0.4113756613756614,0.4682539682539683,0.00480961799621582,0.0009851455688476562,69.5048828125,42.99567099567099,98.52193590164185,100,68.35200622794741,
61,hashing_char,HashingVectorizer Character,char_hashing,medium,random_forest_small,Small Random Forest,tree_based,high,hashing_char__random_forest_small,completed,0.6,0.547463429816371,0.5391223155929039,0.5750000000000001,0.6111111111111112,0.10406279563903809,0.006898164749145508,144.525390625,55.93464052287582,96.07122552871704,55,68.22829739332511,
62,hashing_word,HashingVectorizer Word,hashing,medium,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,hashing_word__sgd_hinge,completed,0.55,0.49603174603174605,0.4875,0.6904761904761904,0.5714285714285714,0.0067899227142333984,0.0015583038330078125,49.6474609375,50.824404761904766,98.87281301498413,70,68.22798522204445,
63,tfidf_char,Character TF-IDF,char_tfidf,medium,ridge_classifier,Ridge Classifier,linear,low,tfidf_char__ridge_classifier,completed,0.5,0.4666666666666666,0.46333333333333326,0.46759259259259256,0.5079365079365079,0.0242617130279541,0.003800630569458008,285.8212890625,47.45,93.9099661064148,85,67.62949322128296,
64,tfidf_char,Character TF-IDF,char_tfidf,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.07223653793334961,0.006037235260009766,285.91015625,47.331250000000004,93.48614353179931,85,67.47941620635987,
65,hashing_word,HashingVectorizer Word,hashing,medium,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,hashing_word__passive_aggressive,completed,0.5,0.4952465834818776,0.4783422459893048,0.49444444444444446,0.5158730158730159,0.007004976272583008,0.0015583038330078125,49.6630859375,49.38992869875223,98.87121019363403,70,67.43870282304053,
66,hashing_char,HashingVectorizer Character,char_hashing,medium,sgd_log,SGDClassifier Logistic Loss,sgd,medium,hashing_char__sgd_log,completed,0.5,0.4740675990675991,0.4670017482517482,0.458994708994709,0.5079365079365079,0.026705503463745117,0.0027718544006347656,97.6103515625,47.949082167832174,97.72124868392945,70,66.41624492909358,
67,hashing_word,HashingVectorizer Word,hashing,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,hashing_word__bernoulli_nb,completed,0.5,0.4166666666666667,0.4041666666666667,0.4705882352941176,0.5,0.002996683120727539,0.0014634132385253906,97.3525390625,43.5625,97.94716432571411,85,66.29880786514283,
68,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_wb__linear_svc,completed,0.5,0.47647907647907645,0.47363636363636363,0.46957671957671954,0.5079365079365079,0.015756607055664062,0.0029087066650390625,202.046875,48.19329004329004,95.69000045776367,70,66.14430961536226,
69,tfidf_char,Character TF-IDF,char_tfidf,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.020843982696533203,0.003701925277709961,285.765625,47.835714285714275,93.9375080871582,70,65.59714447457449,
70,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,ridge_classifier,Ridge Classifier,linear,low,tfidf_bigram__ridge_classifier,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.012402534484863281,0.00222015380859375,50.8837890625,35.764939309056956,98.77469978332519,100,64.42565657664636,
71,tfidf_char,Character TF-IDF,char_tfidf,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,tfidf_char__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.022614002227783203,0.003946781158447266,402.9306640625,42.46063348416289,91.56889583587646,85,64.41712758346489,
72,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,sgd_log,SGDClassifier Logistic Loss,sgd,medium,tfidf_char_wb__sgd_log,completed,0.45,0.43846153846153846,0.4337179487179488,0.43703703703703695,0.4603174603174603,0.016628026962280273,0.0030519962310791016,202.31640625,44.06346153846154,95.67078393936157,70,63.86906063402616,
73,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,ridge_classifier,Ridge Classifier,linear,low,tfidf_char_wb__ridge_classifier,completed,0.4,0.394017094017094,0.39371794871794874,0.39999999999999997,0.4047619047619047,0.017611980438232422,0.0032300949096679688,202.1025390625,39.546794871794866,95.65847164154053,85,63.63243150779529,
74,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_wb__logreg_balanced,completed,0.4,0.394017094017094,0.39371794871794874,0.39999999999999997,0.4047619047619047,0.05730891227722168,0.005227088928222656,202.19140625,39.546794871794866,95.2986930656433,85,63.56047579261584,
75,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,tfidf_char_wb__complement_nb,completed,0.4,0.394017094017094,0.39371794871794874,0.39999999999999997,0.4047619047619047,0.013725996017456055,0.0030303001403808594,312.5400390625,39.546794871794866,93.4850252342224,85,63.197742226331656,
76,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,tfidf_char_wb__multinomial_nb,completed,0.4,0.38717948717948714,0.3834615384615384,0.3761904761904762,0.4047619047619047,0.014366626739501953,0.003168344497680664,284.8525390625,38.982692307692304,94.02664878845215,85,62.9958105269212,
77,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,tfidf_bigram__passive_aggressive,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.00848841667175293,0.0015287399291992188,51.134765625,35.764939309056956,98.83464979171754,85,62.18764657832484,
78,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,linear_svc,LinearSVC,margin_based,medium,tfidf_bigram__linear_svc,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.008248567581176758,0.002073526382446289,50.84375,35.764939309056956,98.80922201156616,85,62.182561022294564,
79,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,tfidf_bigram__sgd_log,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.008716344833374023,0.002286195755004883,51.11328125,35.764939309056956,98.78826456069947,85,62.17836953212122,
80,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,tfidf_char_wb__passive_aggressive,completed,0.4,0.39926739926739924,0.39780219780219783,0.40277777777777773,0.4047619047619047,0.017660856246948242,0.0033032894134521484,202.353515625,39.92307692307692,95.64876718521118,70,61.587445744734545,
81,tfidf_svd,TF-IDF + SVD,dimensionality_reduction,high,ridge_classifier,Ridge Classifier,linear,low,tfidf_svd__ridge_classifier,completed,0.45,0.46068376068376066,0.4587179487179488,0.47222222222222215,0.4523809523809524,0.06334304809570312,0.0033757686614990234,,45.77179487179487,79.41739559173584,70,61.55796629783435,
82,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,count_bigram__multinomial_nb,completed,0.3,0.3021645021645022,0.29909090909090913,0.305952380952381,0.30158730158730157,0.005265235900878906,0.0009834766387939453,63.1767578125,30.11623376623377,98.6458648300171,100,61.293101537431994,
83,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_bigram__logreg_balanced,completed,0.3,0.287962962962963,0.29125,0.3055555555555555,0.29365079365079366,0.012267112731933594,0.002138853073120117,50.97265625,29.146527777777777,98.7786130142212,100,60.78631288062202,
