rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
30,count_word,CountVectorizer Word,count,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,count_word__sgd_hinge,completed,0.6,0.5965811965811966,0.5802564102564103,0.5857142857142857,0.619047619047619,0.0052111148834228516,0.0007786750793457031,16.849609375,59.49871794871795,99.58502061843873,85,75.39129899548263,
31,count_binary,Binary CountVectorizer,count_binary,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,count_binary__sgd_log,completed,0.6,0.5965811965811966,0.5802564102564103,0.5857142857142857,0.619047619047619,0.00752711296081543,0.0011641979217529297,16.828125,59.49871794871795,99.54842294692993,85,75.38397946118087,
32,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,random_forest_small,Small Random Forest,tree_based,high,count_bigram__random_forest_small,completed,0.65,0.6464646464646465,0.6333333333333333,0.6818181818181818,0.6587301587301587,0.07890534400939941,0.004651308059692383,164.1396484375,64.53787878787878,95.96469648361207,70,75.18877263005575,
33,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,count_bigram__sgd_log,completed,0.6,0.5783549783549783,0.5672727272727273,0.5793650793650793,0.619047619047619,0.006640911102294922,0.0009660720825195312,44.828125,58.210389610389605,99.00562770843507,85,74.56683982740131,
34,count_word,CountVectorizer Word,count,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,count_word__sgd_log,completed,0.6,0.5558667911609088,0.5408029878618115,0.5833333333333334,0.6190476190476191,0.011105537414550781,0.0012888908386230469,16.828125,56.464052287581694,99.51947082519531,85,73.709122923209,
35,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,count_bigram__sgd_hinge,completed,0.6,0.5555555555555556,0.55,0.5462962962962963,0.6111111111111112,0.006054401397705078,0.0009436607360839844,44.849609375,56.583333333333336,99.01006175994874,85,73.67284568532308,
36,tfidf_word,TF-IDF Word,tfidf,low,complement_nb,Complement Naive Bayes,naive_bayes,low,tfidf_word__complement_nb,completed,0.55,0.5177489177489177,0.5036363636363637,0.49603174603174605,0.5714285714285714,0.003876924514770508,0.0011785030364990234,28.1650390625,52.36948051948052,99.34272748947143,100,73.67175978360858,
37,tfidf_word,TF-IDF Word,tfidf,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word__linear_svc,completed,0.55,0.5710041592394534,0.5540998217468805,0.6,0.5634920634920635,0.0057942867279052734,0.0016014575958251953,18.9375,56.32174688057041,99.49039682388306,85,73.62504014909034,
38,hashing_word,HashingVectorizer Word,hashing,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,hashing_word__complement_nb,completed,0.6,0.5607142857142857,0.5458928571428572,0.5462962962962963,0.6190476190476191,0.0026826858520507812,0.0009305477142333984,113.3994140625,56.831250000000004,97.6600827407837,85,73.53920404815675,
39,hashing_char,HashingVectorizer Character,char_hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_char__logreg_balanced,completed,0.6,0.5547619047619048,0.5467857142857143,0.5416666666666666,0.6111111111111112,0.08333230018615723,0.0046808719635009766,97.4697265625,56.4875,97.269759349823,85,73.27207686996461,
